pokemonKey,pokemonName,moveName,naturalSource,level,versionGroup,learnMethod,formerLearnMethod,naturalizedRareTm
alakazam,Alakazam,Psybeam,level-up,27,,,,no
alakazam,Alakazam,Recover,level-up,31,,,,no
alakazam,Alakazam,Psychic,level-up,38,,,,no
alakazam,Alakazam,Reflect,level-up,42,,,,no
alakazam,Alakazam,Kinesis,level-up,1,,,,no
alakazam,Alakazam,Future Sight,level-up,31,,,,no
alakazam,Alakazam,Calm Mind,level-up,33,,,,no
alakazam,Alakazam,Trick,level-up,43,,,,no
alakazam,Alakazam,Miracle Eye,level-up,22,,,,no
alakazam,Alakazam,Psycho Cut,level-up,34,,,,no
alakazam,Alakazam,Telekinesis,level-up,34,,,,no
alakazam,Alakazam,Psyshock,level-up,30,,,,no
alakazam,Alakazam,Role Play,level-up,40,,,,no
alakazam,Alakazam,Guard Split,naturalized-rare-tm,,showdown-gen-8,egg,egg,yes
alakazam,Alakazam,Power Trick,naturalized-rare-tm,,showdown-gen-7,egg,egg,yes
alcremie,Alcremie,Decorate,level-up,0,,,,no
alcremie,Alcremie,Tackle,level-up,1,,,,no
alcremie,Alcremie,Sweet Kiss,level-up,1,,,,no
alcremie,Alcremie,Sweet Scent,level-up,1,,,,no
alcremie,Alcremie,Draining Kiss,level-up,15,,,,no
alcremie,Alcremie,Aromatherapy,level-up,20,,,,no
alcremie,Alcremie,Attract,level-up,25,,,,no
alcremie,Alcremie,Acid Armor,level-up,30,,,,no
alcremie,Alcremie,Dazzling Gleam,level-up,35,,,,no
alcremie,Alcremie,Recover,level-up,40,,,,no
alcremie,Alcremie,Misty Terrain,level-up,45,,,,no
alcremie,Alcremie,Entrainment,level-up,50,,,,no
alcremie,Alcremie,Charm,level-up,20,,,,no
alcremie,Alcremie,Baby-Doll Eyes,naturalized-rare-tm,,scarlet-violet,egg,egg,yes
diglett-alola,Alolan Diglett,Sand Attack,level-up,1,,,,no
diglett-alola,Alolan Diglett,Metal Claw,level-up,1,,,,no
diglett-alola,Alolan Diglett,Growl,level-up,4,,,,no
diglett-alola,Alolan Diglett,Astonish,level-up,7,,,,no
diglett-alola,Alolan Diglett,Mud-Slap,level-up,10,,,,no
diglett-alola,Alolan Diglett,Magnitude,level-up,14,,,,no
diglett-alola,Alolan Diglett,Bulldoze,level-up,18,,,,no
diglett-alola,Alolan Diglett,Sucker Punch,level-up,22,,,,no
diglett-alola,Alolan Diglett,Mud Bomb,level-up,25,,,,no
diglett-alola,Alolan Diglett,Earth Power,level-up,28,,,,no
diglett-alola,Alolan Diglett,Dig,level-up,31,,,,no
diglett-alola,Alolan Diglett,Iron Head,level-up,35,,,,no
diglett-alola,Alolan Diglett,Earthquake,level-up,39,,,,no
diglett-alola,Alolan Diglett,Fissure,level-up,43,,,,no
diglett-alola,Alolan Diglett,Sandstorm,level-up,28,,,,no
dugtrio-alola,Alolan Dugtrio,Sand Tomb,level-up,0,,,,no
dugtrio-alola,Alolan Dugtrio,Rototiller,level-up,1,,,,no
dugtrio-alola,Alolan Dugtrio,Night Slash,level-up,1,,,,no
dugtrio-alola,Alolan Dugtrio,Tri Attack,level-up,1,,,,no
dugtrio-alola,Alolan Dugtrio,Sand Attack,level-up,1,,,,no
dugtrio-alola,Alolan Dugtrio,Metal Claw,level-up,1,,,,no
dugtrio-alola,Alolan Dugtrio,Growl,level-up,1,,,,no
dugtrio-alola,Alolan Dugtrio,Astonish,level-up,7,,,,no
dugtrio-alola,Alolan Dugtrio,Mud-Slap,level-up,10,,,,no
dugtrio-alola,Alolan Dugtrio,Magnitude,level-up,14,,,,no
dugtrio-alola,Alolan Dugtrio,Bulldoze,level-up,18,,,,no
dugtrio-alola,Alolan Dugtrio,Sucker Punch,level-up,22,,,,no
dugtrio-alola,Alolan Dugtrio,Mud Bomb,level-up,25,,,,no
dugtrio-alola,Alolan Dugtrio,Earth Power,level-up,30,,,,no
dugtrio-alola,Alolan Dugtrio,Dig,level-up,35,,,,no
dugtrio-alola,Alolan Dugtrio,Iron Head,level-up,41,,,,no
dugtrio-alola,Alolan Dugtrio,Earthquake,level-up,47,,,,no
dugtrio-alola,Alolan Dugtrio,Fissure,level-up,53,,,,no
dugtrio-alola,Alolan Dugtrio,Sandstorm,level-up,30,,,,no
exeggutor-alola,Alolan Exeggutor,Dragon Hammer,level-up,0,,,,no
exeggutor-alola,Alolan Exeggutor,Seed Bomb,level-up,1,,,,no
exeggutor-alola,Alolan Exeggutor,Barrage,level-up,1,,,,no
exeggutor-alola,Alolan Exeggutor,Hypnosis,level-up,1,,,,no
exeggutor-alola,Alolan Exeggutor,Confusion,level-up,1,,,,no
exeggutor-alola,Alolan Exeggutor,Psyshock,level-up,17,,,,no
exeggutor-alola,Alolan Exeggutor,Egg Bomb,level-up,27,,,,no
exeggutor-alola,Alolan Exeggutor,Wood Hammer,level-up,37,,,,no
exeggutor-alola,Alolan Exeggutor,Leaf Storm,level-up,47,,,,no
exeggutor-alola,Alolan Exeggutor,Mega Drain,level-up,1,,,,no
exeggutor-alola,Alolan Exeggutor,Synthesis,level-up,1,,,,no
exeggutor-alola,Alolan Exeggutor,Bullet Seed,level-up,1,,,,no
exeggutor-alola,Alolan Exeggutor,Giga Drain,level-up,1,,,,no
exeggutor-alola,Alolan Exeggutor,Extrasensory,level-up,1,,,,no
exeggutor-alola,Alolan Exeggutor,Uproar,level-up,1,,,,no
exeggutor-alola,Alolan Exeggutor,Worry Seed,level-up,1,,,,no
exeggutor-alola,Alolan Exeggutor,Solar Beam,level-up,1,,,,no
exeggutor-alola,Alolan Exeggutor,Absorb,level-up,1,,,,no
exeggutor-alola,Alolan Exeggutor,Reflect,level-up,1,,,,no
exeggutor-alola,Alolan Exeggutor,Leech Seed,level-up,1,,,,no
exeggutor-alola,Alolan Exeggutor,Growth,reminder,0,,,,no
exeggutor-alola,Alolan Exeggutor,Psychic,level-up,47,,,,no
exeggutor-alola,Alolan Exeggutor,Bestow,level-up,50,,,,no
exeggutor-alola,Alolan Exeggutor,Natural Gift,level-up,37,,,,no
exeggutor-alola,Alolan Exeggutor,Poison Powder,level-up,21,,,,no
exeggutor-alola,Alolan Exeggutor,Sleep Powder,level-up,23,,,,no
exeggutor-alola,Alolan Exeggutor,Moonlight,naturalized-rare-tm,,showdown-gen-9,egg,egg,yes
geodude-alola,Alolan Geodude,Tackle,level-up,1,,,,no
geodude-alola,Alolan Geodude,Defense Curl,level-up,1,,,,no
geodude-alola,Alolan Geodude,Charge,level-up,4,,,,no
geodude-alola,Alolan Geodude,Rock Polish,level-up,6,,,,no
geodude-alola,Alolan Geodude,Rollout,level-up,10,,,,no
geodude-alola,Alolan Geodude,Spark,level-up,12,,,,no
geodude-alola,Alolan Geodude,Rock Throw,level-up,16,,,,no
geodude-alola,Alolan Geodude,Smack Down,level-up,18,,,,no
geodude-alola,Alolan Geodude,Thunder Punch,level-up,22,,,,no
geodude-alola,Alolan Geodude,Self-Destruct,level-up,24,,,,no
geodude-alola,Alolan Geodude,Stealth Rock,level-up,28,,,,no
geodude-alola,Alolan Geodude,Rock Blast,level-up,30,,,,no
geodude-alola,Alolan Geodude,Discharge,level-up,34,,,,no
geodude-alola,Alolan Geodude,Explosion,level-up,36,,,,no
geodude-alola,Alolan Geodude,Double-Edge,level-up,40,,,,no
geodude-alola,Alolan Geodude,Stone Edge,level-up,42,,,,no
geodude-alola,Alolan Geodude,Autotomize,naturalized-rare-tm,,ultra-sun-ultra-moon,egg,egg,yes
golem-alola,Alolan Golem,Heavy Slam,level-up,1,,,,no
golem-alola,Alolan Golem,Tackle,level-up,1,,,,no
golem-alola,Alolan Golem,Defense Curl,level-up,1,,,,no
golem-alola,Alolan Golem,Charge,level-up,1,,,,no
golem-alola,Alolan Golem,Rock Polish,level-up,1,,,,no
golem-alola,Alolan Golem,Steamroller,level-up,10,,,,no
golem-alola,Alolan Golem,Spark,level-up,12,,,,no
golem-alola,Alolan Golem,Rock Throw,level-up,16,,,,no
golem-alola,Alolan Golem,Smack Down,level-up,18,,,,no
golem-alola,Alolan Golem,Thunder Punch,level-up,22,,,,no
golem-alola,Alolan Golem,Self-Destruct,level-up,24,,,,no
golem-alola,Alolan Golem,Stealth Rock,level-up,30,,,,no
golem-alola,Alolan Golem,Rock Blast,level-up,34,,,,no
golem-alola,Alolan Golem,Discharge,level-up,40,,,,no
golem-alola,Alolan Golem,Explosion,level-up,44,,,,no
golem-alola,Alolan Golem,Double-Edge,level-up,50,,,,no
golem-alola,Alolan Golem,Stone Edge,level-up,54,,,,no
golem-alola,Alolan Golem,Rollout,level-up,10,,,,no
golem-alola,Alolan Golem,Autotomize,naturalized-rare-tm,,showdown-gen-7,egg,egg,yes
graveler-alola,Alolan Graveler,Tackle,level-up,1,,,,no
graveler-alola,Alolan Graveler,Defense Curl,level-up,1,,,,no
graveler-alola,Alolan Graveler,Charge,level-up,1,,,,no
graveler-alola,Alolan Graveler,Rock Polish,level-up,1,,,,no
graveler-alola,Alolan Graveler,Rollout,level-up,10,,,,no
graveler-alola,Alolan Graveler,Spark,level-up,12,,,,no
graveler-alola,Alolan Graveler,Rock Throw,level-up,16,,,,no
graveler-alola,Alolan Graveler,Smack Down,level-up,18,,,,no
graveler-alola,Alolan Graveler,Thunder Punch,level-up,22,,,,no
graveler-alola,Alolan Graveler,Self-Destruct,level-up,24,,,,no
graveler-alola,Alolan Graveler,Stealth Rock,level-up,30,,,,no
graveler-alola,Alolan Graveler,Rock Blast,level-up,34,,,,no
graveler-alola,Alolan Graveler,Discharge,level-up,40,,,,no
graveler-alola,Alolan Graveler,Explosion,level-up,44,,,,no
graveler-alola,Alolan Graveler,Double-Edge,level-up,50,,,,no
graveler-alola,Alolan Graveler,Stone Edge,level-up,54,,,,no
graveler-alola,Alolan Graveler,Autotomize,naturalized-rare-tm,,showdown-gen-7,egg,egg,yes
grimer-alola,Alolan Grimer,Pound,level-up,1,,,,no
grimer-alola,Alolan Grimer,Poison Gas,level-up,1,,,,no
grimer-alola,Alolan Grimer,Harden,level-up,4,,,,no
grimer-alola,Alolan Grimer,Bite,level-up,7,,,,no
grimer-alola,Alolan Grimer,Disable,level-up,12,,,,no
grimer-alola,Alolan Grimer,Acid Spray,level-up,15,,,,no
grimer-alola,Alolan Grimer,Poison Fang,level-up,18,,,,no
grimer-alola,Alolan Grimer,Minimize,level-up,21,,,,no
grimer-alola,Alolan Grimer,Fling,level-up,26,,,,no
grimer-alola,Alolan Grimer,Knock Off,level-up,29,,,,no
grimer-alola,Alolan Grimer,Crunch,level-up,32,,,,no
grimer-alola,Alolan Grimer,Screech,level-up,37,,,,no
grimer-alola,Alolan Grimer,Gunk Shot,level-up,40,,,,no
grimer-alola,Alolan Grimer,Acid Armor,level-up,43,,,,no
grimer-alola,Alolan Grimer,Belch,level-up,46,,,,no
grimer-alola,Alolan Grimer,Memento,level-up,48,,,,no
grimer-alola,Alolan Grimer,Toxic,level-up,26,,,,no
grimer-alola,Alolan Grimer,Shadow Sneak,naturalized-rare-tm,,scarlet-violet,egg,egg,yes
marowak-alola,Alolan Marowak,Growl,level-up,1,,,,no
marowak-alola,Alolan Marowak,Tail Whip,level-up,1,,,,no
marowak-alola,Alolan Marowak,Bone Club,level-up,1,,,,no
marowak-alola,Alolan Marowak,Flame Wheel,level-up,1,,,,no
marowak-alola,Alolan Marowak,Leer,level-up,13,,,,no
marowak-alola,Alolan Marowak,Hex,level-up,17,,,,no
marowak-alola,Alolan Marowak,Bonemerang,level-up,21,,,,no
marowak-alola,Alolan Marowak,Will-O-Wisp,level-up,23,,,,no
marowak-alola,Alolan Marowak,Shadow Bone,level-up,27,,,,no
marowak-alola,Alolan Marowak,Thrash,level-up,33,,,,no
marowak-alola,Alolan Marowak,Fling,level-up,37,,,,no
marowak-alola,Alolan Marowak,Stomping Tantrum,level-up,43,,,,no
marowak-alola,Alolan Marowak,Endeavor,level-up,49,,,,no
marowak-alola,Alolan Marowak,Flare Blitz,level-up,53,,,,no
marowak-alola,Alolan Marowak,Retaliate,level-up,59,,,,no
marowak-alola,Alolan Marowak,Bone Rush,level-up,65,,,,no
marowak-alola,Alolan Marowak,Fire Spin,level-up,14,,,,no
marowak-alola,Alolan Marowak,False Swipe,level-up,1,,,,no
marowak-alola,Alolan Marowak,Headbutt,level-up,1,,,,no
marowak-alola,Alolan Marowak,Focus Energy,level-up,1,,,,no
marowak-alola,Alolan Marowak,Double-Edge,level-up,1,,,,no
marowak-alola,Alolan Marowak,Mud-Slap,level-up,1,,,,no
meowth-alola,Alolan Meowth,Scratch,level-up,1,,,,no
meowth-alola,Alolan Meowth,Growl,level-up,1,,,,no
meowth-alola,Alolan Meowth,Bite,level-up,6,,,,no
meowth-alola,Alolan Meowth,Fake Out,level-up,9,,,,no
meowth-alola,Alolan Meowth,Fury Swipes,level-up,14,,,,no
meowth-alola,Alolan Meowth,Screech,level-up,17,,,,no
meowth-alola,Alolan Meowth,Feint Attack,level-up,22,,,,no
meowth-alola,Alolan Meowth,Taunt,level-up,25,,,,no
meowth-alola,Alolan Meowth,Pay Day,level-up,30,,,,no
meowth-alola,Alolan Meowth,Slash,level-up,33,,,,no
meowth-alola,Alolan Meowth,Nasty Plot,level-up,38,,,,no
meowth-alola,Alolan Meowth,Assurance,level-up,41,,,,no
meowth-alola,Alolan Meowth,Captivate,level-up,46,,,,no
meowth-alola,Alolan Meowth,Night Slash,level-up,49,,,,no
meowth-alola,Alolan Meowth,Feint,level-up,50,,,,no
meowth-alola,Alolan Meowth,Dark Pulse,level-up,55,,,,no
meowth-alola,Alolan Meowth,Play Rough,level-up,35,,,,no
muk-alola,Alolan Muk,Venom Drench,level-up,0,,,,no
muk-alola,Alolan Muk,Pound,level-up,1,,,,no
muk-alola,Alolan Muk,Poison Gas,level-up,1,,,,no
muk-alola,Alolan Muk,Harden,level-up,1,,,,no
muk-alola,Alolan Muk,Bite,level-up,1,,,,no
muk-alola,Alolan Muk,Disable,level-up,12,,,,no
muk-alola,Alolan Muk,Acid Spray,level-up,15,,,,no
muk-alola,Alolan Muk,Poison Fang,level-up,18,,,,no
muk-alola,Alolan Muk,Minimize,level-up,21,,,,no
muk-alola,Alolan Muk,Fling,level-up,26,,,,no
muk-alola,Alolan Muk,Knock Off,level-up,29,,,,no
muk-alola,Alolan Muk,Crunch,level-up,32,,,,no
muk-alola,Alolan Muk,Screech,level-up,37,,,,no
muk-alola,Alolan Muk,Gunk Shot,level-up,40,,,,no
muk-alola,Alolan Muk,Acid Armor,level-up,46,,,,no
muk-alola,Alolan Muk,Belch,level-up,52,,,,no
muk-alola,Alolan Muk,Memento,level-up,57,,,,no
muk-alola,Alolan Muk,Toxic,level-up,26,,,,no
muk-alola,Alolan Muk,Shadow Sneak,naturalized-rare-tm,,showdown-gen-9,egg,egg,yes
ninetales-alola,Alolan Ninetales,Dazzling Gleam,level-up,0,,,,no
ninetales-alola,Alolan Ninetales,Imprison,level-up,1,,,,no
ninetales-alola,Alolan Ninetales,Nasty Plot,reminder,1,,,,no
ninetales-alola,Alolan Ninetales,Ice Beam,reminder,1,,,,no
ninetales-alola,Alolan Ninetales,Ice Shard,reminder,1,,,,no
ninetales-alola,Alolan Ninetales,Confuse Ray,reminder,1,,,,no
ninetales-alola,Alolan Ninetales,Safeguard,level-up,1,,,,no
ninetales-alola,Alolan Ninetales,Tail Whip,level-up,1,,,,no
ninetales-alola,Alolan Ninetales,Mist,reminder,1,,,,no
ninetales-alola,Alolan Ninetales,Spite,reminder,1,,,,no
ninetales-alola,Alolan Ninetales,Icy Wind,level-up,1,,,,no
ninetales-alola,Alolan Ninetales,Aurora Beam,reminder,1,,,,no
ninetales-alola,Alolan Ninetales,Extrasensory,reminder,1,,,,no
ninetales-alola,Alolan Ninetales,Aurora Veil,reminder,1,,,,no
ninetales-alola,Alolan Ninetales,Sheer Cold,level-up,1,,,,no
ninetales-alola,Alolan Ninetales,Grudge,level-up,1,,,,no
ninetales-alola,Alolan Ninetales,Blizzard,level-up,1,,,,no
ninetales-alola,Alolan Ninetales,Powder Snow,reminder,1,,,,no
ninetales-alola,Alolan Ninetales,Disable,reminder,1,,,,no
ninetales-alola,Alolan Ninetales,Freeze-Dry,reminder,0,,,,no
ninetales-alola,Alolan Ninetales,Hex,level-up,26,,,,no
ninetales-alola,Alolan Ninetales,Payback,level-up,18,,,,no
ninetales-alola,Alolan Ninetales,Roar,level-up,7,,,,no
ninetales-alola,Alolan Ninetales,Baby-Doll Eyes,level-up,9,,,,no
ninetales-alola,Alolan Ninetales,Captivate,level-up,47,,,,no
ninetales-alola,Alolan Ninetales,Feint Attack,level-up,23,,,,no
ninetales-alola,Alolan Ninetales,Moonblast,naturalized-rare-tm,,scarlet-violet,egg,egg,yes
persian-alola,Alolan Persian,Swift,level-up,0,,,,no
persian-alola,Alolan Persian,Play Rough,level-up,1,,,,no
persian-alola,Alolan Persian,Switcheroo,level-up,1,,,,no
persian-alola,Alolan Persian,Scratch,level-up,1,,,,no
persian-alola,Alolan Persian,Growl,level-up,1,,,,no
persian-alola,Alolan Persian,Bite,level-up,1,,,,no
persian-alola,Alolan Persian,Fake Out,level-up,1,,,,no
persian-alola,Alolan Persian,Fury Swipes,level-up,14,,,,no
persian-alola,Alolan Persian,Screech,level-up,17,,,,no
persian-alola,Alolan Persian,Feint Attack,level-up,22,,,,no
persian-alola,Alolan Persian,Taunt,level-up,25,,,,no
persian-alola,Alolan Persian,Power Gem,level-up,32,,,,no
persian-alola,Alolan Persian,Slash,level-up,37,,,,no
persian-alola,Alolan Persian,Nasty Plot,level-up,44,,,,no
persian-alola,Alolan Persian,Assurance,level-up,49,,,,no
persian-alola,Alolan Persian,Captivate,level-up,56,,,,no
persian-alola,Alolan Persian,Night Slash,level-up,61,,,,no
persian-alola,Alolan Persian,Feint,level-up,65,,,,no
persian-alola,Alolan Persian,Dark Pulse,level-up,69,,,,no
persian-alola,Alolan Persian,Pay Day,level-up,12,,,,no
raichu-alola,Alolan Raichu,Psychic,level-up,0,,,,no
raichu-alola,Alolan Raichu,Speed Swap,level-up,1,,,,no
raichu-alola,Alolan Raichu,Thunder Shock,level-up,1,,,,no
raichu-alola,Alolan Raichu,Tail Whip,level-up,1,,,,no
raichu-alola,Alolan Raichu,Quick Attack,level-up,1,,,,no
raichu-alola,Alolan Raichu,Thunderbolt,level-up,1,,,,no
raichu-alola,Alolan Raichu,Growl,level-up,1,,,,no
raichu-alola,Alolan Raichu,Double Team,level-up,1,,,,no
raichu-alola,Alolan Raichu,Play Nice,level-up,1,,,,no
raichu-alola,Alolan Raichu,Sweet Kiss,level-up,1,,,,no
raichu-alola,Alolan Raichu,Nuzzle,level-up,1,,,,no
raichu-alola,Alolan Raichu,Nasty Plot,level-up,1,,,,no
raichu-alola,Alolan Raichu,Charm,level-up,1,,,,no
raichu-alola,Alolan Raichu,Thunder Wave,level-up,1,,,,no
raichu-alola,Alolan Raichu,Electro Ball,level-up,1,,,,no
raichu-alola,Alolan Raichu,Feint,level-up,1,,,,no
raichu-alola,Alolan Raichu,Spark,level-up,1,,,,no
raichu-alola,Alolan Raichu,Agility,level-up,1,,,,no
raichu-alola,Alolan Raichu,Slam,level-up,1,,,,no
raichu-alola,Alolan Raichu,Discharge,level-up,1,,,,no
raichu-alola,Alolan Raichu,Light Screen,level-up,1,,,,no
raichu-alola,Alolan Raichu,Thunder,level-up,1,,,,no
raichu-alola,Alolan Raichu,Iron Tail,level-up,1,,,,no
raichu-alola,Alolan Raichu,Wild Charge,level-up,50,,,,no
raichu-alola,Alolan Raichu,Extreme Speed,naturalized-rare-tm,,showdown-gen-5,event,event,yes
raichu-alola,Alolan Raichu,Heart Stamp,naturalized-rare-tm,,showdown-gen-6,event,event,yes
