moveName,compatiblePokemonCount,compatibilityGroupCount,formerLearnMethods,pokemonKeys
Peck,5,2,egg; virtual-console,dewgong; seel; togekiss; togepi; togetic
Petal Dance,4,2,egg; event,bulbasaur; ivysaur; meowth; persian
Poison Fang,9,5,egg,arbok; bruxish; ekans; mawile; mawile-mega; mightyena; poochyena; tyrantrum; tyrunt
Poison Powder,8,4,egg,amoonguss; eldegoss; foongus; gossifleur; morelull; scatterbug; shiinotic; spewpa
Poison Sting,2,1,egg,galvantula; joltik
Powder,2,1,egg,cutiefly; ribombee
Powder Snow,3,1,egg,vanillish; vanillite; vanilluxe
Power Shift,2,2,tutor,avalugg-hisui; braviary-hisui
Power Trick,11,4,egg,abra; alakazam; forretress; gligar; gliscor; kadabra; machamp; machoke; machop; alakazam-mega; pineco
Power Trip,12,5,egg,annihilape; bombirdier; empoleon; incineroar; litten; mankey; pancham; pangoro; piplup; primeape; prinplup; torracat
Psycho Boost,1,1,event,lugia
Psyshield Bash,1,1,egg,stantler
Quiver Dance,4,1,egg,oricorio-baile; oricorio-pau; oricorio-pom-pom; oricorio-sensu
Raging Fury,2,1,egg,arcanine; growlithe
Razor Leaf,13,5,egg,bellossom; budew; carnivine; cherrim; cherubi; gloom; lombre; lotad; ludicolo; oddish; roselia; roserade; vileplume
Razor Shell,9,5,machine,carracosta; escavalier; slowbro-galar; slowking-galar; kabutops; slowbro-mega; mew; slowbro; slowking
Reflect Type,8,5,dream-world; egg,castform; stunfisk-galar; gastly; haunter; kecleon; omanyte; omastar; stunfisk
Roar of Time,3,2,event,arceus; darkrai; darkrai-mega
Rock Throw,4,2,egg,carracosta; tirtouga; tyrantrum; tyrunt
Rolling Kick,6,2,egg; virtual-console,electabuzz; electivire; elekid; machamp; machoke; machop
Sacred Sword,4,1,egg,dewott; samurott-hisui; oshawott; samurott
Shadow Force,1,1,event,arceus
Shadow Punch,2,1,egg,grimer; muk
Shadow Sneak,15,5,egg,grimer-alola; muk-alola; brambleghast; bramblin; gallade; gardevoir; greavard; grimer; houndstone; kirlia; gallade-mega; gardevoir-mega; misdreavus; muk; ralts
Shell Smash,5,2,egg,chewtle; drednaw; grotle; torterra; turtwig
Shift Gear,1,1,event,genesect
Sky Uppercut,7,2,egg,buneary; lopunny; lucario; lopunny-mega; lucario-mega; lucario-mega-z; riolu
Slack Off,3,1,egg,crocalor; fuecoco; skeledirge
Sleep Powder,6,3,egg,budew; carnivine; eldegoss; gossifleur; roselia; roserade
Sludge,10,3,egg,bulbasaur; gastrodon; ivysaur; marshtomp; swampert-mega; venusaur-mega; mudkip; shellos; swampert; venusaur
Smog,5,3,egg,gastly; gulpin; skuntank; stunky; swalot
Smokescreen,6,3,egg,exploud; loudred; magcargo; slugma; spiritomb; whismur
Soft-Boiled,8,3,tutor,clefable; clefairy; cleffa; clefable-mega; mew; togekiss; togepi; togetic
Sonic Boom,4,2,egg; virtual-console,ariados; munna; musharna; spinarak
Spacial Rend,3,2,event,arceus; darkrai; darkrai-mega
Spark,3,2,egg,barboach; stunfisk; whiscash
Sparkling Aria,1,1,egg,lapras
Spiky Shield,2,1,egg,pansage; simisage
Spore,1,1,event,smeargle
Sticky Web,8,4,egg,araquanid; blipbug; cutiefly; dewpider; dottler; orbeetle; ribombee; swirlix
Storm Throw,2,1,egg,pancham; pangoro
Stuff Cheeks,5,2,egg,gulpin; lechonk; oinkologne-male; oinkologne-female; swalot
Stun Spore,5,3,egg,carnivine; eldegoss; gossifleur; morelull; shiinotic
Sunsteel Strike,1,1,restricted,necrozma-dusk
Synchronoise,21,5,egg,eevee; espeon; flareon; gallade; gardevoir; glaceon; golduck; jolteon; kirlia; leafeon; gallade-mega; gardevoir-mega; natu; psyduck; ralts; swoobat; sylveon; umbreon; vaporeon; woobat; xatu
Tackle,1,1,virtual-console,furret
Tail Whip,7,4,egg,cinccino; glameow; meowth; minccino; pachirisu; persian; purugly
Tearful Look,9,5,egg,dedenne; flabebe; floette; florges; floette-mega; minun; patrat; plusle; watchog
Tidy Up,4,2,egg,cinccino; furret; minccino; sentret
Twineedle,10,5,egg,ariados; drapion; scolipede-mega; scolipede; shellder; skorupi; spinarak; togedemaru; venipede; whirlipede
V-create,2,1,event,rayquaza-mega; rayquaza
Vine Whip,4,1,egg,bayleef; chikorita; meganium-mega; meganium
Vital Throw,3,2,egg,mienfoo; mienshao; passimian
Volt Tackle,6,1,event; light-ball-egg; tutor,raichu-alola; raichu-mega-x; raichu-mega-y; pichu; pikachu; raichu
Water Spout,6,2,egg,blastoise; blastoise-mega; octillery; remoraid; squirtle; wartortle
Wing Attack,6,3,egg,charmander; charmeleon; gligar; gliscor; hoothoot; noctowl
Wood Hammer,1,1,egg,maractus
Wrap,1,1,egg,heatmor
Wring Out,6,2,egg,bayleef; chikorita; meganium-mega; meganium; omanyte; omastar
